director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
ridley scott,mark addy,william hurt,scott grimes,action|adventure|drama|history,robin hood
peter jackson,aidan turner,adam brown,james nesbitt,adventure|fantasy,the hobbit: the desolation of smaug
chris weitz,christopher lee,eva green,kristin scott thomas,adventure|family|fantasy,the golden compass
peter jackson,naomi watts,thomas kretschmann,evan parke,action|adventure|drama|romance,king kong
james cameron,leonardo dicaprio,kate winslet,gloria stuart,drama|romance,titanic
anthony russo,robert downey jr.,scarlett johansson,chris evans,action|adventure|sci-fi,captain america: civil war
peter berg,liam neeson,alexander skarsgård,tadanobu asano,action|adventure|sci-fi|thriller,battleship
colin trevorrow,bryce dallas howard,judy greer,omar sy,action|adventure|sci-fi|thriller,jurassic world
sam mendes,albert finney,helen mccrory,rory kinnear,action|adventure|thriller,skyfall
sam raimi,j.k. simmons,james franco,kirsten dunst,action|adventure|fantasy|romance,spider-man 2
shane black,robert downey jr.,jon favreau,don cheadle,action|adventure|sci-fi,iron man 3
tim burton,johnny depp,alan rickman,anne hathaway,adventure|family|fantasy,alice in wonderland
brett ratner,hugh jackman,kelsey grammer,daniel cudmore,action|adventure|fantasy|sci-fi|thriller,x-men: the last stand
dan scanlon,steve buscemi,tyler labine,sean hayes,adventure|animation|comedy|family|fantasy,monsters university
michael bay,glenn morshower,kevin dunn,ramon rodriguez,action|adventure|sci-fi,transformers: revenge of the fallen
michael bay,bingbing li,sophia myles,kelsey grammer,action|adventure|sci-fi,transformers: age of extinction
sam raimi,tim holmes,mila kunis,james franco,adventure|family|fantasy,oz the great and powerful
marc webb,emma stone,andrew garfield,b.j. novak,action|adventure|fantasy|sci-fi,the amazing spider-man 2
joseph kosinski,jeff bridges,olivia wilde,james frain,action|adventure|sci-fi,tron: legacy
john lasseter,joe mantegna,thomas kretschmann,eddie izzard,adventure|animation|comedy|family|sport,cars 2
martin campbell,ryan reynolds,temuera morrison,taika waititi,action|adventure|sci-fi,green lantern
lee unkrich,tom hanks,john ratzenberger,don rickles,adventure|animation|comedy|family|fantasy,toy story 3
mcg,christian bale,bryce dallas howard,common,action|adventure|sci-fi,terminator salvation
james wan,jason statham,paul walker,vin diesel,action|crime|thriller,furious 7
marc forster,peter capaldi,brad pitt,mireille enos,action|adventure|horror|sci-fi|thriller,world war z
bryan singer,jennifer lawrence,peter dinklage,hugh jackman,action|adventure|fantasy|sci-fi|thriller,x-men: days of future past
j.j. abrams,benedict cumberbatch,bruce greenwood,noel clarke,action|adventure|sci-fi,star trek into darkness
bryan singer,eddie marsan,ewen bremner,ralph brown,adventure|fantasy,jack the giant slayer
baz luhrmann,leonardo dicaprio,elizabeth debicki,steve bisley,drama|romance,the great gatsby
mike newell,jake gyllenhaal,richard coyle,reece ritchie,action|adventure|fantasy|romance,prince of persia: the sands of time
guillermo del toro,charlie hunnam,clifton collins jr.,larry joe campbell,action|adventure|sci-fi,pacific rim
michael bay,glenn morshower,lester speight,kevin dunn,action|adventure|sci-fi,transformers: dark of the moon
steven spielberg,harrison ford,ray winstone,jim broadbent,action|adventure|fantasy,indiana jones and the kingdom of the crystal skull
peter sohn,a.j. buckley,jack mcgraw,peter sohn,adventure|animation|comedy|family|fantasy,the good dinosaur
mark andrews,kelly macdonald,john ratzenberger,julie walters,adventure|animation|comedy|family|fantasy,brave
justin lin,sofia boutella,melissa roxburgh,lydia wilson,action|adventure|sci-fi|thriller,star trek beyond
andrew stanton,john ratzenberger,fred willard,jeff garlin,adventure|animation|family|sci-fi,wall·e
brett ratner,tzi ma,dana ivey,noémie lenoir,action|comedy|crime|thriller,rush hour 3
roland emmerich,oliver platt,liam james,tom mccarthy,action|adventure|sci-fi,2012
robert zemeckis,robin wright,colin firth,gary oldman,animation|drama|family|fantasy,a christmas carol
lana wachowski,channing tatum,mila kunis,eddie redmayne,action|adventure|sci-fi,jupiter ascending
david yates,christoph waltz,alexander skarsgård,casper crump,action|adventure|drama|romance,the legend of tarzan
andrew adamson,jim broadbent,kiran shah,shane rangi,adventure|family|fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
bryan singer,jennifer lawrence,michael fassbender,tye sheridan,action|adventure|sci-fi,x-men: apocalypse
christopher nolan,christian bale,heath ledger,morgan freeman,action|crime|drama|thriller,the dark knight
pete docter,john ratzenberger,delroy lindo,jess harnell,adventure|animation|comedy|family,up
rob letterman,amy poehler,rainn wilson,stephen colbert,action|adventure|animation|comedy|family|sci-fi,monsters vs. aliens
jon favreau,robert downey jr.,jeff bridges,jon favreau,action|adventure|sci-fi,iron man
martin scorsese,chloë grace moretz,christopher lee,ray winstone,adventure|drama|family|mystery,hugo
barry sonnenfeld,will smith,salma hayek,bai ling,action|comedy|sci-fi|western,wild wild west
rob cohen,jet li,brendan fraser,russell wong,action|adventure|fantasy|horror|thriller,the mummy: tomb of the dragon emperor
david ayer,will smith,robin atkin downes,ike barinholtz,action|adventure|comedy|sci-fi,suicide squad
tom shadyac,jimmy bennett,morgan freeman,steve carell,comedy|family|fantasy,evan almighty
doug liman,tom cruise,lara pulver,noah taylor,action|adventure|sci-fi,edge of tomorrow
kevin reynolds,jeanne tripplehorn,rick aviles,zakes mokae,action|adventure|sci-fi|thriller,waterworld
stephen sommers,joseph gordon-levitt,dennis quaid,leo howard,action|adventure|sci-fi|thriller,g.i. joe: the rise of cobra
pete docter,amy poehler,mindy kaling,phyllis smith,adventure|animation|comedy|drama|family|fantasy,inside out
jon favreau,scarlett johansson,bill murray,garry shandling,adventure|drama|family|fantasy,the jungle book
jon favreau,robert downey jr.,scarlett johansson,jon favreau,action|adventure|sci-fi,iron man 2
rupert sanders,chris hemsworth,kristen stewart,sam claflin,action|adventure|drama|fantasy,snow white and the huntsman
robert stromberg,angelina jolie pitt,sharlto copley,sam riley,action|adventure|family|fantasy|romance,maleficent
matt reeves,gary oldman,judy greer,kodi smit-mcphee,action|adventure|drama|sci-fi,dawn of the planet of the apes
roland joffé,tamsin egerton,alice englert,bipasha basu,action|adventure|romance|sci-fi,the lovers
carl rinsch,keanu reeves,cary-hiroyuki tagawa,jin akanishi,action|adventure|drama|fantasy,47 ronin
anthony russo,scarlett johansson,chris evans,hayley atwell,action|adventure|sci-fi,captain america: the winter soldier
mike mitchell,jon hamm,kathy griffin,mary kay place,adventure|animation|comedy|family|fantasy,shrek forever after
brad bird,judy greer,chris bauer,thomas robinson,action|adventure|family|mystery|sci-fi,tomorrowland
don hall,damon wayans jr.,daniel henney,abraham benrubi,action|adventure|animation|comedy|drama|family|sci-fi,big hero 6
rich moore,jack mcbrayer,sarah silverman,joe lo truglio,adventure|animation|comedy|family|sci-fi,wreck-it ralph
robert zemeckis,tom hanks,eddie deezen,peter scolari,adventure|animation|family|fantasy,the polar express
roland emmerich,vivica a. fox,sela ward,judd hirsch,action|adventure|sci-fi,independence day: resurgence
dean deblois,gerard butler,america ferrera,craig ferguson,adventure|animation|family|fantasy,how to train your dragon
jonathan mostow,nick stahl,m.c. gainey,carolyn hennesy,action|sci-fi,terminator 3: rise of the machines
james gunn,bradley cooper,vin diesel,djimon hounsou,action|adventure|sci-fi,guardians of the galaxy
christopher nolan,matthew mcconaughey,anne hathaway,mackenzie foy,adventure|drama|sci-fi,interstellar
christopher nolan,leonardo dicaprio,tom hardy,joseph gordon-levitt,action|adventure|sci-fi|thriller,inception
hideaki anno,mark chinnery,shin'ya tsukamoto,atsuko maeda,action|adventure|drama|horror|sci-fi,godzilla resurgence
peter jackson,aidan turner,adam brown,james nesbitt,adventure|fantasy,the hobbit: an unexpected journey
rob cohen,paul walker,vin diesel,jordana brewster,action|crime|thriller,the fast and the furious
david fincher,brad pitt,jason flemyng,julia ormond,drama|fantasy|romance,the curious case of benjamin button
matthew vaughn,jennifer lawrence,michael fassbender,oliver platt,action|adventure|sci-fi,x-men: first class
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure|sci-fi,the hunger games: mockingjay - part 2
jon turteltaub,nicolas cage,omar benson miller,robert capron,action|adventure|family|fantasy,the sorcerer's apprentice
wolfgang petersen,jimmy bennett,mike vogel,andre braugher,action|adventure|drama|thriller,poseidon
james bobin,johnny depp,alan rickman,anne hathaway,adventure|family|fantasy,alice through the looking glass
chris miller,justin timberlake,eric idle,rupert everett,adventure|animation|comedy|family|fantasy,shrek the third
duncan jones,dominic cooper,callum rennie,ruth negga,action|adventure|fantasy,warcraft
alan taylor,j.k. simmons,emilia clarke,matt smith,action|adventure|sci-fi,terminator genisys
michael apted,bruce spence,shane rangi,laura brent,adventure|family|fantasy,the chronicles of narnia: the voyage of the dawn treader
michael bay,jennifer garner,jaime king,mako,action|drama|history|romance|war,pearl harbor
michael bay,zack ward,michael o'neill,kevin dunn,action|adventure|sci-fi,transformers
oliver stone,anthony hopkins,angelina jolie pitt,brian blessed,action|adventure|biography|drama|history|romance|war,alexander
david yates,robert pattinson,daniel radcliffe,fiona shaw,adventure|family|fantasy|mystery,harry potter and the order of the phoenix
mike newell,robert pattinson,daniel radcliffe,rupert grint,adventure|family|fantasy|mystery,harry potter and the goblet of fire
peter berg,will smith,charlize theron,eddie marsan,action|drama,hancock
francis lawrence,will smith,alice braga,willow smith,drama|horror|sci-fi,i am legend
tim burton,johnny depp,christopher lee,david kelly,adventure|comedy|family|fantasy,charlie and the chocolate factory
brad bird,janeane garofalo,john ratzenberger,brian dennehy,animation|comedy|family|fantasy,ratatouille
christopher nolan,christian bale,liam neeson,morgan freeman,action|adventure,batman begins
eric darnell,bernie mac,jada pinkett smith,cedric the entertainer,action|adventure|animation|comedy|family,madagascar: escape 2 africa
shawn levy,robin williams,rami malek,steve coogan,adventure|comedy|family|fantasy,night at the museum: battle of the smithsonian
gavin hood,hugh jackman,ryan reynolds,dominic monaghan,action|adventure|fantasy|sci-fi|thriller,x-men origins: wolverine
lana wachowski,essie davis,collin chou,nona gaye,action|sci-fi,the matrix revolutions
chris buck,josh gad,maurice lamarche,livvy stubenrauch,adventure|animation|comedy|family|fantasy|musical,frozen
lana wachowski,steve bastoni,daniel bernhardt,helmut bakaitis,action|sci-fi,the matrix reloaded
alan taylor,chris hemsworth,natalie portman,anthony hopkins,action|adventure|fantasy,thor: the dark world
george miller,tom hardy,charlize theron,zoë kravitz,action|adventure|sci-fi|thriller,mad max: fury road
ron howard,tom hanks,ayelet zurer,armin mueller-stahl,mystery|thriller,angels & demons
kenneth branagh,chris hemsworth,natalie portman,anthony hopkins,action|adventure|fantasy,thor
byron howard,chloë grace moretz,diedrich bader,james lipton,adventure|animation|comedy|drama|family,bolt
hoyt yeatman,kelli garner,piper mackenzie harris,niecy nash,action|adventure|animation|comedy|family|fantasy|sci-fi,g-force
jonathan liebesman,liam neeson,edgar ramírez,lily james,action|adventure|fantasy,wrath of the titans
tim burton,johnny depp,chloë grace moretz,christopher lee,comedy|fantasy|horror,dark shadows
christopher mcquarrie,tom cruise,jeremy renner,sean harris,action|adventure|thriller,mission: impossible - rogue nation
joe johnston,anthony hopkins,simon merrells,art malik,drama|fantasy|horror|thriller,the wolfman
david yates,christoph waltz,alexander skarsgård,casper crump,action|adventure|drama|romance,the legend of tarzan
steve hickner,matthew broderick,oprah winfrey,rip torn,adventure|animation|comedy|family,bee movie
jennifer yuh nelson,angelina jolie pitt,gary oldman,mike bell,action|adventure|animation|comedy|family,kung fu panda 2
m. night shyamalan,seychelle gabriel,noah ringer,aasif mandvi,action|adventure|family|fantasy,the last airbender
j.j. abrams,philip seymour hoffman,tom cruise,eddie marsan,action|adventure|thriller,mission: impossible iii
roland emmerich,channing tatum,jake weber,matt craven,action|drama|thriller,white house down
simon wells,elisabeth harnois,dan fogler,tom everett scott,action|adventure|animation|comedy|family|sci-fi,mars needs moms
david bowers,hugh jackman,kate winslet,david suchet,adventure|animation|comedy|family,flushed away
joe wright,hugh jackman,cara delevingne,nonso anozie,adventure|family|fantasy,pan
rob minkoff,ty burrell,zach callison,karan brar,adventure|animation|comedy|family|sci-fi,mr. peabody & sherman
wolfgang petersen,brad pitt,orlando bloom,julian glover,adventure,troy
eric darnell,jada pinkett smith,martin short,cedric the entertainer,adventure|animation|comedy|family,madagascar 3: europe's most wanted
lee tamahori,toby stephens,colin salmon,rick yune,action|adventure|thriller,die another day
paul feig,ed begley jr.,kate mckinnon,zach woods,action|comedy|fantasy|sci-fi,ghostbusters
michael bay,bruce willis,steve buscemi,will patton,action|adventure|sci-fi|thriller,armageddon
barry sonnenfeld,will smith,rosario dawson,rip torn,action|adventure|comedy|family|fantasy|mystery|sci-fi,men in black ii
robert zemeckis,robin wright,anthony hopkins,sebastian roché,action|adventure|animation|fantasy,beowulf
alessandro carloni,j.k. simmons,angelina jolie pitt,wayne knight,action|adventure|animation|comedy|family,kung fu panda 3
brad bird,tom cruise,jeremy renner,michael nyqvist,action|adventure|thriller,mission: impossible - ghost protocol
peter ramsey,hugh jackman,kamil mcfadden,khamani griffin,adventure|animation|family|fantasy,rise of the guardians
dean parisot,john michael higgins,richard burgi,david herman,comedy|crime,fun with dick and jane
edward zwick,tom cruise,tony goldwyn,chad lindberg,action|drama|history|war,the last samurai
ridley scott,christian bale,maría valverde,ben mendelsohn,action|adventure|drama,exodus: gods and kings
j.j. abrams,chris hemsworth,leonard nimoy,bruce greenwood,action|adventure|sci-fi,star trek
sam raimi,j.k. simmons,james franco,kirsten dunst,action|adventure|fantasy|romance,spider-man
dean deblois,gerard butler,djimon hounsou,america ferrera,action|adventure|animation|comedy|family|fantasy,how to train your dragon 2
alex proyas,gerard butler,elodie yung,bryan brown,action|adventure|fantasy,gods of egypt
rob cohen,sam shepard,joe morton,richard roxburgh,action|adventure|sci-fi|thriller,stealth
zack snyder,matt frewer,billy crudup,stephen mchattie,action|drama|mystery|sci-fi,watchmen
richard donner,jet li,rene russo,darlene love,action|crime|thriller,lethal weapon 4
ang lee,kevin rankin,regi davis,celia weston,action|sci-fi,hulk
jon m. chu,channing tatum,dwayne johnson,elodie yung,action|adventure|sci-fi|thriller,g.i. joe: retaliation
breck eisner,matthew mcconaughey,rainn wilson,delroy lindo,action|adventure|comedy|thriller,sahara
hironobu sakaguchi,steve buscemi,ming-na wen,jean simmons,action|adventure|animation|fantasy|romance|sci-fi,final fantasy: the spirits within
joe johnston,chris evans,dominic cooper,hayley atwell,action|adventure|sci-fi,captain america: the first avenger
michael apted,colin salmon,maria grazia cucinotta,desmond llewelyn,action|adventure|thriller,the world is not enough
peter weir,james d'arcy,lee ingleby,david threlfall,action|adventure|drama|history|war,master and commander: the far side of the world
bill condon,robert pattinson,kristen stewart,taylor lautner,adventure|drama|fantasy|romance,the twilight saga: breaking dawn - part 2
george miller,robin williams,brad pitt,common,animation|comedy|family|musical,happy feet 2
louis leterrier,ty burrell,peter mensah,william hurt,action|adventure|sci-fi,the incredible hulk
unknown,don johnson,philip michael thomas,john diehl,action|crime|drama|mystery|thriller,miami vice
steven spielberg,mark rylance,penelope wilton,rafe spall,adventure|family|fantasy,the bfg
alejandro g. iñárritu,leonardo dicaprio,tom hardy,lukas haas,adventure|drama|thriller|western,the revenant
david soren,ryan reynolds,snoop dogg,ben schwartz,adventure|animation|comedy|family|sport,turbo
gore verbinski,johnny depp,ray winstone,stephen root,adventure|animation|comedy|family|western,rango
eric darnell,benedict cumberbatch,annet mahendru,andy richter,adventure|animation|comedy|family,penguins of madagascar
paul greengrass,matt damon,edgar ramírez,albert finney,action|mystery|thriller,the bourne ultimatum
mark osborne,angelina jolie pitt,wayne knight,dan fogler,action|adventure|animation|comedy|family,kung fu panda
peyton reed,judy greer,hayley atwell,t.i.,action|adventure|comedy|sci-fi,ant-man
francis lawrence,jennifer lawrence,josh hutcherson,sandra ellis lafferty,adventure|sci-fi|thriller,the hunger games: catching fire
bill condon,robert pattinson,kristen stewart,taylor lautner,adventure|drama|fantasy|romance,the twilight saga: breaking dawn - part 2
tim johnson,jim parsons,matt jones,april winchell,adventure|animation|comedy|family|fantasy|sci-fi,home
steven spielberg,tom cruise,lisa ann walter,rick gonzalez,adventure|sci-fi|thriller,war of the worlds
michael bay,will smith,henry rollins,jordi mollà,action|comedy|crime|thriller,bad boys ii
chris miller,salma hayek,constance marie,amy sedaris,action|adventure|animation|comedy|family|fantasy,puss in boots
phillip noyce,angelina jolie pitt,andre braugher,august diehl,action|crime|mystery|thriller,salt
darren aronofsky,anthony hopkins,emma watson,logan lerman,action|adventure|drama,noah
steven spielberg,toby jones,mackenzie crook,tony curran,action|adventure|family|mystery,the adventures of tintin
alfonso cuarón,daniel radcliffe,gary oldman,rupert grint,adventure|family|fantasy|mystery,harry potter and the prisoner of azkaban
baz luhrmann,essie davis,bryan brown,eddie baroo,adventure|drama|romance|war,australia
m. night shyamalan,will smith,zoë kravitz,glenn morshower,action|adventure|sci-fi,after earth
eric leighton,alfre woodard,d.b. sweeney,della reese,adventure|animation|family|thriller,dinosaur
matt birch,rupert grint,dave legeno,ralph ineson,action|fantasy,harry potter and the deathly hallows: part ii
shawn levy,robin williams,rami malek,steve coogan,adventure|comedy|family|fantasy,night at the museum: secret of the tomb
tom mcgrath,j.k. simmons,brad pitt,will ferrell,action|animation|comedy|family|sci-fi,megamind
chris columbus,daniel radcliffe,fiona shaw,verne troyer,adventure|family|fantasy,harry potter and the sorcerer's stone
robert schwentke,ryan reynolds,jeff bridges,stephanie szostak,action|comedy|fantasy,r.i.p.d.
hideaki anno,mark chinnery,shin'ya tsukamoto,atsuko maeda,action|adventure|drama|horror|sci-fi,godzilla resurgence
gore verbinski,johnny depp,orlando bloom,jack davenport,action|adventure|fantasy,pirates of the caribbean: the curse of the black pearl
matt birch,rupert grint,toby jones,alfred enoch,fantasy,harry potter and the deathly hallows: part i
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure|sci-fi|thriller,the hunger games: mockingjay - part 1
ron howard,tom hanks,seth gabel,jürgen prochnow,mystery|thriller,the da vinci code
carlos saldanha,miguel ferrer,rachel crow,jeffrey garcia,adventure|animation|comedy|family|musical,rio 2
bryan singer,hugh jackman,bruce davison,aaron stanford,action|adventure|fantasy|sci-fi|thriller,x-men 2
justin lin,paul walker,vin diesel,dwayne johnson,action|crime|thriller,fast five
guy ritchie,robert downey jr.,eddie marsan,paul anderson,action|adventure|crime|mystery|thriller,sherlock holmes: a game of shadows
louis leterrier,liam neeson,jason flemyng,alexa davalos,action|adventure|fantasy,clash of the titans
paul verhoeven,ronny cox,rachel ticotin,marshall bell,action|sci-fi,total recall
john mctiernan,tony curran,vladimir kulich,clive russell,action|adventure|history,the 13th warrior
tony gilroy,jeremy renner,scott glenn,stacy keach,action|adventure|thriller,the bourne legacy
joel schumacher,michael gough,vivica a. fox,john glover,action,batman & robin
ron howard,clint howard,t.j. thyne,molly shannon,comedy|family|fantasy,how the grinch stole christmas
roland emmerich,jake gyllenhaal,dennis quaid,sela ward,action|adventure|sci-fi|thriller,the day after tomorrow
john woo,tom cruise,dougray scott,richard roxburgh,action|adventure|thriller,mission: impossible ii
wolfgang petersen,karen allen,mary elizabeth mastrantonio,bob gunton,action|adventure|drama|thriller,the perfect storm
tim story,chris evans,ioan gruffudd,andre braugher,action|adventure|sci-fi|thriller,fantastic 4: rise of the silver surfer
ang lee,suraj sharma,rafe spall,tabu,adventure|drama|fantasy,life of pi
mark steven johnson,nicolas cage,matt long,peter fonda,action|fantasy|thriller,ghost rider
paul greengrass,matt damon,riz ahmed,ato essandoh,action|thriller,jason bourne
mcg,demi moore,bernie mac,justin theroux,action|adventure|comedy|crime,charlie's angels: full throttle
ridley scott,michael fassbender,charlize theron,sean harris,adventure|mystery|sci-fi,prometheus
rob minkoff,nathan lane,brad garrett,melanie griffith,adventure|animation|comedy|family|fantasy,stuart little 2
neill blomkamp,matt damon,sharlto copley,alice braga,action|drama|sci-fi|thriller,elysium
david twohy,vin diesel,alexa davalos,christina cox,action|adventure|sci-fi|thriller,the chronicles of riddick
josé padilha,gary oldman,abbie cornish,jennifer ehle,action|crime|sci-fi|thriller,robocop
lana wachowski,scott porter,kick gurry,nicholas elia,action|family|sport,speed racer
james l. brooks,shelley conn,domenick lombardozzi,teyonah parris,comedy|drama|romance,how do you know
james mangold,tom cruise,marc blucas,jordi mollà,action|comedy|romance,knight and day
joseph kosinski,morgan freeman,tom cruise,zoë bell,action|adventure|mystery|sci-fi,oblivion
george lucas,natalie portman,christopher lee,hayden christensen,action|adventure|fantasy|sci-fi,star wars: episode iii - revenge of the sith
george lucas,natalie portman,christopher lee,hayden christensen,action|adventure|fantasy|sci-fi,star wars: episode ii - attack of the clones
pete docter,steve buscemi,john ratzenberger,james coburn,adventure|animation|comedy|family|fantasy,"monsters, inc."
james mangold,hugh jackman,tao okamoto,rila fukushima,action|adventure|sci-fi|thriller,the wolverine
george lucas,natalie portman,liam neeson,ian mcdiarmid,action|adventure|fantasy|sci-fi,star wars: episode i - the phantom menace
kirk de micco,ryan reynolds,emma stone,nicolas cage,adventure|animation|comedy|family|fantasy,the croods
frédéric forestier,alain delon,santiago segura,vanessa hessler,adventure|comedy|family|fantasy,asterix at the olympic games
john woo,nicolas cage,roger willie,noah emmerich,action|drama|war,windtalkers
cedric nicolas-troyan,chris hemsworth,sam claflin,charlize theron,action|adventure|drama|fantasy,the huntsman: winter's war
jonathan liebesman,noel fisher,danny woodburn,jeremy howard,action|adventure|comedy|sci-fi,teenage mutant ninja turtles
alfonso cuarón,phaldut sharma,basher savage,amy warren,adventure|drama|sci-fi|thriller,gravity
roger donaldson,jamie renée smith,grant heslov,tzi ma,action|adventure|thriller,dante's peak
dave green,stephen amell,noel fisher,brad garrett,action|adventure|comedy|sci-fi,teenage mutant ninja turtles: out of the shadows
josh trank,tim blake nelson,reg e. cathey,tim heidecker,action|adventure|sci-fi,fantastic four
shawn levy,robin williams,rami malek,steve coogan,action|adventure|comedy|family|fantasy,night at the museum
brad peyton,dwayne johnson,ioan gruffudd,archie panjabi,action|adventure|drama|thriller,san andreas
roger spottiswoode,vincent schiavelli,colin salmon,joe don baker,action|adventure|thriller,tomorrow never dies
roland emmerich,heath ledger,adam baldwin,tom wilkinson,action|drama|history|war,the patriot
steven soderbergh,brad pitt,julia roberts,mini anden,crime|thriller,ocean's twelve
doug liman,brad pitt,angelina jolie pitt,stephanie march,action|comedy|crime|romance|thriller,mr. & mrs. smith
robert schwentke,kate winslet,theo james,mekhi phifer,adventure|sci-fi|thriller,insurgent
martin scorsese,leonardo dicaprio,adam scott,frances conroy,biography|drama,the aviator
rob letterman,james corden,catherine tate,olly alexander,adventure|comedy|family|fantasy,gulliver's travels
michel gondry,christoph waltz,tom wilkinson,chad l. coleman,action|comedy|crime|sci-fi|thriller,the green hornet
unknown,george peppard,dirk benedict,dwight schultz,action|adventure|crime,the a-team
noam murro,eva green,sullivan stapleton,peter mensah,action|drama|fantasy|war,300: rise of an empire
raja gosnell,mahadeo shivraj,tim gunn,madison mckinley,adventure|animation|comedy|family|fantasy,the smurfs
will finn,steve buscemi,roseanne barr,g.w. bailey,animation|comedy|family|music|western,home on the range
robert schwentke,naomi watts,theo james,zoë kravitz,action|adventure|mystery|sci-fi|thriller,allegiant
shawn levy,hugh jackman,torey michael adkins,olga fonda,action|drama|sci-fi|sport,real steel
raja gosnell,jacob tremblay,nancy o'dell,vanessa matsui,adventure|animation|comedy|family|fantasy,the smurfs 2
jan de bont,jason patric,temuera morrison,lois chiles,action|crime|romance|thriller,speed 2: cruise control
gavin hood,harrison ford,moises arias,aramis knight,action|sci-fi,ender's game
len wiseman,bruce willis,jonathan sadowski,cyril raffaelli,action|adventure|thriller,live free or die hard
peter jackson,christopher lee,orlando bloom,billy boyd,action|adventure|drama|fantasy,the lord of the rings: the fellowship of the ring
frank coraci,jim broadbent,steve coogan,cécile de france,action|adventure|comedy,around the world in 80 days
michael mann,will smith,jada pinkett smith,joe morton,biography|drama|sport,ali
bo welch,sean hayes,kelly preston,spencer breslin,adventure|comedy|family|fantasy,the cat in the hat
alex proyas,will smith,bruce greenwood,chi mcbride,action|mystery|sci-fi|thriller,"i, robot"
ridley scott,liam neeson,orlando bloom,philip glenister,action|adventure|drama|history|war,kingdom of heaven
rob minkoff,chazz palminteri,nathan lane,jeffrey jones,adventure|comedy|family|fantasy,stuart little
ron clements,oprah winfrey,jenifer lewis,anika noni rose,animation|family|fantasy|musical|romance,the princess and the frog
ridley scott,matt damon,donald glover,benedict wong,adventure|drama|sci-fi,the martian
christopher barnard,mathew buck,unknown,unknown,comedy,"10,000 b.c."
michael bay,scarlett johansson,steve buscemi,djimon hounsou,action|adventure|romance|sci-fi|thriller,the island
peter chelsom,del zamora,warren beatty,garry shandling,comedy|romance,town & country
dominic sena,nicolas cage,angelina jolie pitt,robert duvall,action|crime|thriller,gone in sixty seconds
ridley scott,djimon hounsou,connie nielsen,oliver reed,action|drama|romance,gladiator
steven spielberg,tom cruise,frank grillo,jessica capshaw,action|mystery|sci-fi|thriller,minority report
chris columbus,daniel radcliffe,rupert grint,emma watson,adventure|family|fantasy|mystery,harry potter and the chamber of secrets
martin campbell,eva green,tobias menzies,ivana milicevic,action|adventure|thriller,casino royale
tim burton,cary-hiroyuki tagawa,estella warren,erick avari,action|adventure|sci-fi|thriller,planet of the apes
james cameron,joe morton,jenette goldstein,s. epatha merkerson,action|sci-fi,terminator 2: judgment day
michael mann,johnny depp,christian bale,stephen graham,biography|crime|drama|history|romance,public enemies
ridley scott,denzel washington,ruby dee,rza,biography|crime|drama,american gangster
james cameron,jamie lee curtis,tia carrere,tom arnold,action|comedy|thriller,true lies
